"DateTime","Counter-Strike: Global Offensive","Sid Meier's Civilization V","Grand Theft Auto V","Sid Meier's Civilization VI","The Elder Scrolls V: Skyrim Special Edition","Far Cry 5","PUBG: BATTLEGROUNDS","Monster Hunter: World","Assassin's Creed Odyssey","太吾绘卷 The Scroll Of Taiwu"
"2015-11-06 00:00:00",669888,41019,62779,,,,,,,
"2015-11-07 00:00:00",688392,52261,73221,,,,,,,
"2015-11-08 00:00:00",675447,52042,68379,,,,,,,
"2015-11-09 00:00:00",599300,43805,46990,,,,,,,
"2015-11-10 00:00:00",581347,34309,41267,,,,,,,
"2015-11-11 00:00:00",597527,36437,40191,,,,,,,
"2015-11-12 00:00:00",575875,32290,40530,,,,,,,
"2015-11-13 00:00:00",622375,36113,48072,,,,,,,
"2015-11-14 00:00:00",666487,47166,57703,,,,,,,
"2015-11-15 00:00:00",662161,47156,55837,,,,,,,
"2015-11-16 00:00:00",588057,39065,38979,,,,,,,
"2015-11-17 00:00:00",576160,33408,35095,,,,,,,
"2015-11-18 00:00:00",581563,33174,37876,,,,,,,
"2015-11-19 00:00:00",591924,33195,36972,,,,,,,
"2015-11-20 00:00:00",648037,37722,43405,,,,,,,
"2015-11-21 00:00:00",665514,49029,51715,,,,,,,
"2015-11-22 00:00:00",653833,50054,49697,,,,,,,
"2015-11-23 00:00:00",591545,41150,35331,,,,,,,
"2015-11-24 00:00:00",602930,36761,35454,,,,,,,
"2015-11-25 00:00:00",623415,40089,34290,,,,,,,
"2015-11-26 00:00:00",609118,44261,35372,,,,,,,
"2015-11-27 00:00:00",678051,52815,43475,,,,,,,
"2015-11-28 00:00:00",689711,58683,55497,,,,,,,
"2015-11-29 00:00:00",691930,58621,56646,,,,,,,
"2015-11-30 00:00:00",626903,49027,42743,,,,,,,
"2015-12-01 00:00:00",616849,42250,43485,,,,,,,
"2015-12-02 00:00:00",637477,41179,44363,,,,,,,
"2015-12-03 00:00:00",636123,40584,43335,,,,,,,
"2015-12-04 00:00:00",688508,45900,50527,,,,,,,
"2015-12-05 00:00:00",721883,58848,60814,,,,,,,
"2015-12-06 00:00:00",709200,57367,58285,,,,,,,
